City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,ocho rios,18.4025,-77.1048,26.32,85,7,1.75,JM,1731299101
352,zarinsk,53.7074,84.9493,0.54,97,100,8.6,RU,1731298874
353,new iberia,30.0035,-91.8187,22.25,100,75,3.09,US,1731299104
354,duiwelskloof,-23.6934,30.14,18.58,96,100,1.14,ZA,1731299106
355,luanco,43.6152,-5.7934,15.57,99,81,1.29,ES,1731299107
356,tselinnoye,53.0833,85.6667,0.68,97,100,8.67,RU,1731299108
357,san luis de la loma,17.2706,-100.8939,26.41,85,55,1.16,MX,1731299109
358,kurayyimah,32.2764,35.5994,19.0,76,0,1.1,JO,1731299110
359,sierra grande,-41.606,-65.3557,11.69,53,100,9.47,AR,1731299111
360,al muwayh,22.4333,41.7583,18.71,35,46,4.23,SA,1731299113
